order_id,item_id,product_id,quantity,list_price,discount,total_price,total_discount,total_price_discounted
1,1,20,1,599.99,0.2,599.99,119.998,479.992
1,2,8,2,1799.99,0.07,3599.98,251.9986,3347.9814
1,3,10,2,1549,0.05,3098,154.9,2943.1
1,4,16,2,599.99,0.05,1199.98,59.999,1139.981
1,5,4,1,2899.99,0.2,2899.99,579.998,2319.992
2,1,20,1,599.99,0.07,599.99,41.9993,557.9907
2,2,16,2,599.99,0.05,1199.98,59.999,1139.981
3,1,3,1,999.99,0.05,999.99,49.9995,949.9905
3,2,20,1,599.99,0.05,599.99,29.9995,569.9905
4,1,2,2,749.99,0.1,1499.98,149.998,1349.982
5,1,10,2,1549,0.05,3098,154.9,2943.1
5,2,17,1,429,0.07,429,30.03,398.97
5,3,26,1,599.99,0.07,599.99,41.9993,557.9907
6,1,18,1,449,0.07,449,31.43,417.57
6,2,12,2,549.99,0.05,1099.98,54.999,1044.981
6,3,20,1,599.99,0.1,599.99,59.999,539.991
6,4,3,2,999.99,0.07,1999.98,139.9986,1859.9814
6,5,9,2,2999.99,0.07,5999.98,419.9986,5579.9814
7,1,15,1,529.99,0.07,529.99,37.0993,492.8907
7,2,3,1,999.99,0.1,999.99,99.999,899.991
7,3,17,2,429,0.1,858,85.8,772.2
8,1,22,1,269.99,0.05,269.99,13.4995,256.4905
8,2,20,2,599.99,0.07,1199.98,83.9986,1115.9814
9,1,7,2,3999.99,0.1,7999.98,799.998,7199.982
10,1,14,1,269.99,0.1,269.99,26.999,242.991
11,1,8,1,1799.99,0.05,1799.99,89.9995,1709.9905
11,2,22,2,269.99,0.1,539.98,53.998,485.982
11,3,16,2,599.99,0.2,1199.98,239.996,959.984
12,1,4,2,2899.99,0.1,5799.98,579.998,5219.982
12,2,11,1,1680.99,0.05,1680.99,84.0495,1596.9405
13,1,13,1,269.99,0.1,269.99,26.999,242.991
13,2,17,2,429,0.05,858,42.9,815.1
13,3,20,2,599.99,0.1,1199.98,119.998,1079.982
13,4,16,2,599.99,0.05,1199.98,59.999,1139.981
14,1,6,1,469.99,0.07,469.99,32.8993,437.0907
15,1,12,2,549.99,0.07,1099.98,76.9986,1022.9814
15,2,8,1,1799.99,0.07,1799.99,125.9993,1673.9907
15,3,18,2,449,0.05,898,44.9,853.1
15,4,23,2,299.99,0.2,599.98,119.996,479.984
16,1,8,1,1799.99,0.2,1799.99,359.998,1439.992
16,2,21,1,269.99,0.05,269.99,13.4995,256.4905
16,3,13,2,269.99,0.07,539.98,37.7986,502.1814
16,4,14,1,269.99,0.07,269.99,18.8993,251.0907
17,1,8,1,1799.99,0.07,1799.99,125.9993,1673.9907
17,2,23,1,299.99,0.1,299.99,29.999,269.991
17,3,5,1,1320.99,0.1,1320.99,132.099,1188.891
17,4,20,2,599.99,0.2,1199.98,239.996,959.984
18,1,2,2,749.99,0.2,1499.98,299.996,1199.984
18,2,22,1,269.99,0.05,269.99,13.4995,256.4905
18,3,7,1,3999.99,0.1,3999.99,399.999,3599.991
18,4,25,2,499.99,0.05,999.98,49.999,949.981
18,5,9,2,2999.99,0.1,5999.98,599.998,5399.982
19,1,10,1,1549,0.07,1549,108.43,1440.57
19,2,9,2,2999.99,0.2,5999.98,1199.996,4799.984
20,1,9,1,2999.99,0.07,2999.99,209.9993,2789.9907
20,2,10,2,1549,0.07,3098,216.86,2881.14
21,1,14,1,269.99,0.05,269.99,13.4995,256.4905
21,2,17,1,429,0.1,429,42.9,386.1
21,3,10,1,1549,0.07,1549,108.43,1440.57
22,1,15,2,529.99,0.2,1059.98,211.996,847.984
22,2,22,1,269.99,0.05,269.99,13.4995,256.4905
23,1,4,2,2899.99,0.05,5799.98,289.999,5509.981
23,2,23,2,299.99,0.1,599.98,59.998,539.982
23,3,13,1,269.99,0.2,269.99,53.998,215.992
24,1,3,2,999.99,0.1,1999.98,199.998,1799.982
24,2,18,2,449,0.07,898,62.86,835.14
25,1,23,2,299.99,0.2,599.98,119.996,479.984
